datetime_beginning_utc,datetime_beginning_ept,area,solar_generation_mw
1/2/2023 4:00:00 AM,1/1/2023 11:00:00 PM,MIDATL,-1.144
1/2/2023 4:00:00 AM,1/1/2023 11:00:00 PM,OTHER,-0.037
1/2/2023 4:00:00 AM,1/1/2023 11:00:00 PM,SOUTH,-4.213
1/2/2023 4:00:00 AM,1/1/2023 11:00:00 PM,WEST,-1.323
1/2/2023 4:00:00 AM,1/1/2023 11:00:00 PM,RTO,-6.680
1/2/2023 4:00:00 AM,1/1/2023 11:00:00 PM,RFC,-2.467
1/2/2023 3:00:00 AM,1/1/2023 10:00:00 PM,MIDATL,-2.141
1/2/2023 3:00:00 AM,1/1/2023 10:00:00 PM,OTHER,-0.037
1/2/2023 3:00:00 AM,1/1/2023 10:00:00 PM,SOUTH,-4.339
1/2/2023 3:00:00 AM,1/1/2023 10:00:00 PM,WEST,-0.323
1/2/2023 3:00:00 AM,1/1/2023 10:00:00 PM,RTO,-6.803
1/2/2023 3:00:00 AM,1/1/2023 10:00:00 PM,RFC,-2.464
1/2/2023 2:00:00 AM,1/1/2023 9:00:00 PM,MIDATL,-2.159
1/2/2023 2:00:00 AM,1/1/2023 9:00:00 PM,OTHER,-0.036
1/2/2023 2:00:00 AM,1/1/2023 9:00:00 PM,SOUTH,-5.116
1/2/2023 2:00:00 AM,1/1/2023 9:00:00 PM,WEST,-0.323
1/2/2023 2:00:00 AM,1/1/2023 9:00:00 PM,RTO,-7.598
1/2/2023 2:00:00 AM,1/1/2023 9:00:00 PM,RFC,-2.482
1/2/2023 1:00:00 AM,1/1/2023 8:00:00 PM,MIDATL,-1.104
1/2/2023 1:00:00 AM,1/1/2023 8:00:00 PM,OTHER,-0.037
1/2/2023 1:00:00 AM,1/1/2023 8:00:00 PM,SOUTH,-4.323
1/2/2023 1:00:00 AM,1/1/2023 8:00:00 PM,WEST,-0.338
1/2/2023 1:00:00 AM,1/1/2023 8:00:00 PM,RTO,-5.765
1/2/2023 1:00:00 AM,1/1/2023 8:00:00 PM,RFC,-1.442
1/2/2023 12:00:00 AM,1/1/2023 7:00:00 PM,MIDATL,-1.148
1/2/2023 12:00:00 AM,1/1/2023 7:00:00 PM,OTHER,-0.036
1/2/2023 12:00:00 AM,1/1/2023 7:00:00 PM,SOUTH,-4.139
1/2/2023 12:00:00 AM,1/1/2023 7:00:00 PM,WEST,-1.330
1/2/2023 12:00:00 AM,1/1/2023 7:00:00 PM,RTO,-6.617
1/2/2023 12:00:00 AM,1/1/2023 7:00:00 PM,RFC,-2.478
1/1/2023 11:00:00 PM,1/1/2023 6:00:00 PM,MIDATL,-1.118
1/1/2023 11:00:00 PM,1/1/2023 6:00:00 PM,OTHER,-0.036
1/1/2023 11:00:00 PM,1/1/2023 6:00:00 PM,SOUTH,-3.983
1/1/2023 11:00:00 PM,1/1/2023 6:00:00 PM,WEST,-0.328
1/1/2023 11:00:00 PM,1/1/2023 6:00:00 PM,RTO,-5.429
1/1/2023 11:00:00 PM,1/1/2023 6:00:00 PM,RFC,-1.446
1/1/2023 10:00:00 PM,1/1/2023 5:00:00 PM,MIDATL,-1.227
1/1/2023 10:00:00 PM,1/1/2023 5:00:00 PM,OTHER,0.444
1/1/2023 10:00:00 PM,1/1/2023 5:00:00 PM,SOUTH,7.571
1/1/2023 10:00:00 PM,1/1/2023 5:00:00 PM,WEST,-0.250
1/1/2023 10:00:00 PM,1/1/2023 5:00:00 PM,RTO,6.094
1/1/2023 10:00:00 PM,1/1/2023 5:00:00 PM,RFC,-1.477
1/1/2023 9:00:00 PM,1/1/2023 4:00:00 PM,MIDATL,17.478
1/1/2023 9:00:00 PM,1/1/2023 4:00:00 PM,OTHER,7.250
1/1/2023 9:00:00 PM,1/1/2023 4:00:00 PM,SOUTH,289.388
1/1/2023 9:00:00 PM,1/1/2023 4:00:00 PM,WEST,24.277
1/1/2023 9:00:00 PM,1/1/2023 4:00:00 PM,RTO,331.143
1/1/2023 9:00:00 PM,1/1/2023 4:00:00 PM,RFC,41.755
1/1/2023 8:00:00 PM,1/1/2023 3:00:00 PM,MIDATL,152.695
1/1/2023 8:00:00 PM,1/1/2023 3:00:00 PM,OTHER,21.278
1/1/2023 8:00:00 PM,1/1/2023 3:00:00 PM,SOUTH,1266.048
1/1/2023 8:00:00 PM,1/1/2023 3:00:00 PM,WEST,122.609
1/1/2023 8:00:00 PM,1/1/2023 3:00:00 PM,RTO,1541.352
1/1/2023 8:00:00 PM,1/1/2023 3:00:00 PM,RFC,275.304
1/1/2023 7:00:00 PM,1/1/2023 2:00:00 PM,MIDATL,308.326
1/1/2023 7:00:00 PM,1/1/2023 2:00:00 PM,OTHER,22.681
1/1/2023 7:00:00 PM,1/1/2023 2:00:00 PM,SOUTH,1758.473
1/1/2023 7:00:00 PM,1/1/2023 2:00:00 PM,WEST,209.676
1/1/2023 7:00:00 PM,1/1/2023 2:00:00 PM,RTO,2276.475
1/1/2023 7:00:00 PM,1/1/2023 2:00:00 PM,RFC,518.002
1/1/2023 6:00:00 PM,1/1/2023 1:00:00 PM,MIDATL,492.462
1/1/2023 6:00:00 PM,1/1/2023 1:00:00 PM,OTHER,42.403
1/1/2023 6:00:00 PM,1/1/2023 1:00:00 PM,SOUTH,1647.567
1/1/2023 6:00:00 PM,1/1/2023 1:00:00 PM,WEST,231.771
1/1/2023 6:00:00 PM,1/1/2023 1:00:00 PM,RTO,2371.800
1/1/2023 6:00:00 PM,1/1/2023 1:00:00 PM,RFC,724.233
1/1/2023 5:00:00 PM,1/1/2023 12:00:00 PM,MIDATL,579.006
1/1/2023 5:00:00 PM,1/1/2023 12:00:00 PM,OTHER,63.244
1/1/2023 5:00:00 PM,1/1/2023 12:00:00 PM,SOUTH,1557.278
1/1/2023 5:00:00 PM,1/1/2023 12:00:00 PM,WEST,236.732
1/1/2023 5:00:00 PM,1/1/2023 12:00:00 PM,RTO,2373.016
1/1/2023 5:00:00 PM,1/1/2023 12:00:00 PM,RFC,815.738
1/1/2023 4:00:00 PM,1/1/2023 11:00:00 AM,MIDATL,587.103
1/1/2023 4:00:00 PM,1/1/2023 11:00:00 AM,OTHER,72.002
1/1/2023 4:00:00 PM,1/1/2023 11:00:00 AM,SOUTH,1595.768
1/1/2023 4:00:00 PM,1/1/2023 11:00:00 AM,WEST,214.313
1/1/2023 4:00:00 PM,1/1/2023 11:00:00 AM,RTO,2397.184
1/1/2023 4:00:00 PM,1/1/2023 11:00:00 AM,RFC,801.416
1/1/2023 3:00:00 PM,1/1/2023 10:00:00 AM,MIDATL,513.637
1/1/2023 3:00:00 PM,1/1/2023 10:00:00 AM,OTHER,57.640
1/1/2023 3:00:00 PM,1/1/2023 10:00:00 AM,SOUTH,1614.127
1/1/2023 3:00:00 PM,1/1/2023 10:00:00 AM,WEST,189.225
1/1/2023 3:00:00 PM,1/1/2023 10:00:00 AM,RTO,2316.989
1/1/2023 3:00:00 PM,1/1/2023 10:00:00 AM,RFC,702.862
1/1/2023 2:00:00 PM,1/1/2023 9:00:00 AM,MIDATL,353.196
1/1/2023 2:00:00 PM,1/1/2023 9:00:00 AM,OTHER,16.846
1/1/2023 2:00:00 PM,1/1/2023 9:00:00 AM,SOUTH,1171.009
1/1/2023 2:00:00 PM,1/1/2023 9:00:00 AM,WEST,146.031
1/1/2023 2:00:00 PM,1/1/2023 9:00:00 AM,RTO,1670.236
1/1/2023 2:00:00 PM,1/1/2023 9:00:00 AM,RFC,499.227
1/1/2023 1:00:00 PM,1/1/2023 8:00:00 AM,MIDATL,125.466
1/1/2023 1:00:00 PM,1/1/2023 8:00:00 AM,OTHER,3.105
1/1/2023 1:00:00 PM,1/1/2023 8:00:00 AM,SOUTH,410.026
1/1/2023 1:00:00 PM,1/1/2023 8:00:00 AM,WEST,50.503
1/1/2023 1:00:00 PM,1/1/2023 8:00:00 AM,RTO,585.995
1/1/2023 1:00:00 PM,1/1/2023 8:00:00 AM,RFC,175.969
1/1/2023 12:00:00 PM,1/1/2023 7:00:00 AM,MIDATL,17.486
1/1/2023 12:00:00 PM,1/1/2023 7:00:00 AM,OTHER,0.239
1/1/2023 12:00:00 PM,1/1/2023 7:00:00 AM,SOUTH,33.536
1/1/2023 12:00:00 PM,1/1/2023 7:00:00 AM,WEST,1.132
1/1/2023 12:00:00 PM,1/1/2023 7:00:00 AM,RTO,52.154
1/1/2023 12:00:00 PM,1/1/2023 7:00:00 AM,RFC,18.618
1/1/2023 11:00:00 AM,1/1/2023 6:00:00 AM,MIDATL,-0.520
1/1/2023 11:00:00 AM,1/1/2023 6:00:00 AM,OTHER,-0.038
1/1/2023 11:00:00 AM,1/1/2023 6:00:00 AM,SOUTH,-4.081
1/1/2023 11:00:00 AM,1/1/2023 6:00:00 AM,WEST,-1.318
1/1/2023 11:00:00 AM,1/1/2023 6:00:00 AM,RTO,-5.919
1/1/2023 11:00:00 AM,1/1/2023 6:00:00 AM,RFC,-1.838
1/1/2023 10:00:00 AM,1/1/2023 5:00:00 AM,MIDATL,-1.195
1/1/2023 10:00:00 AM,1/1/2023 5:00:00 AM,OTHER,-0.037
1/1/2023 10:00:00 AM,1/1/2023 5:00:00 AM,SOUTH,-4.293
1/1/2023 10:00:00 AM,1/1/2023 5:00:00 AM,WEST,-0.323
1/1/2023 10:00:00 AM,1/1/2023 5:00:00 AM,RTO,-5.811
1/1/2023 10:00:00 AM,1/1/2023 5:00:00 AM,RFC,-1.518
1/1/2023 9:00:00 AM,1/1/2023 4:00:00 AM,MIDATL,-1.157
1/1/2023 9:00:00 AM,1/1/2023 4:00:00 AM,OTHER,-0.038
1/1/2023 9:00:00 AM,1/1/2023 4:00:00 AM,SOUTH,-5.134
1/1/2023 9:00:00 AM,1/1/2023 4:00:00 AM,WEST,-0.336
1/1/2023 9:00:00 AM,1/1/2023 4:00:00 AM,RTO,-6.627
1/1/2023 9:00:00 AM,1/1/2023 4:00:00 AM,RFC,-1.493
1/1/2023 8:00:00 AM,1/1/2023 3:00:00 AM,MIDATL,-1.237
1/1/2023 8:00:00 AM,1/1/2023 3:00:00 AM,OTHER,-0.036
1/1/2023 8:00:00 AM,1/1/2023 3:00:00 AM,SOUTH,-4.116
1/1/2023 8:00:00 AM,1/1/2023 3:00:00 AM,WEST,-0.337
1/1/2023 8:00:00 AM,1/1/2023 3:00:00 AM,RTO,-5.690
1/1/2023 8:00:00 AM,1/1/2023 3:00:00 AM,RFC,-1.574
1/1/2023 7:00:00 AM,1/1/2023 2:00:00 AM,MIDATL,-1.158
1/1/2023 7:00:00 AM,1/1/2023 2:00:00 AM,OTHER,-0.037
1/1/2023 7:00:00 AM,1/1/2023 2:00:00 AM,SOUTH,-4.183
1/1/2023 7:00:00 AM,1/1/2023 2:00:00 AM,WEST,-1.337
1/1/2023 7:00:00 AM,1/1/2023 2:00:00 AM,RTO,-6.678
1/1/2023 7:00:00 AM,1/1/2023 2:00:00 AM,RFC,-2.495
1/1/2023 6:00:00 AM,1/1/2023 1:00:00 AM,MIDATL,-1.158
1/1/2023 6:00:00 AM,1/1/2023 1:00:00 AM,OTHER,-0.037
1/1/2023 6:00:00 AM,1/1/2023 1:00:00 AM,SOUTH,-4.139
1/1/2023 6:00:00 AM,1/1/2023 1:00:00 AM,WEST,-0.327
1/1/2023 6:00:00 AM,1/1/2023 1:00:00 AM,RTO,-5.624
1/1/2023 6:00:00 AM,1/1/2023 1:00:00 AM,RFC,-1.485
1/1/2023 5:00:00 AM,1/1/2023 12:00:00 AM,MIDATL,-2.147
1/1/2023 5:00:00 AM,1/1/2023 12:00:00 AM,OTHER,-0.037
1/1/2023 5:00:00 AM,1/1/2023 12:00:00 AM,SOUTH,-4.143
1/1/2023 5:00:00 AM,1/1/2023 12:00:00 AM,WEST,-0.331
1/1/2023 5:00:00 AM,1/1/2023 12:00:00 AM,RTO,-6.621
1/1/2023 5:00:00 AM,1/1/2023 12:00:00 AM,RFC,-2.478
1/1/2023 4:00:00 AM,12/31/2022 11:00:00 PM,MIDATL,-2.110
1/1/2023 4:00:00 AM,12/31/2022 11:00:00 PM,OTHER,-0.037
1/1/2023 4:00:00 AM,12/31/2022 11:00:00 PM,SOUTH,-4.156
1/1/2023 4:00:00 AM,12/31/2022 11:00:00 PM,WEST,-1.329
1/1/2023 4:00:00 AM,12/31/2022 11:00:00 PM,RTO,-7.595
1/1/2023 4:00:00 AM,12/31/2022 11:00:00 PM,RFC,-3.439
1/1/2023 3:00:00 AM,12/31/2022 10:00:00 PM,MIDATL,-1.147
1/1/2023 3:00:00 AM,12/31/2022 10:00:00 PM,OTHER,-0.035
1/1/2023 3:00:00 AM,12/31/2022 10:00:00 PM,SOUTH,-4.148
1/1/2023 3:00:00 AM,12/31/2022 10:00:00 PM,WEST,-0.327
1/1/2023 3:00:00 AM,12/31/2022 10:00:00 PM,RTO,-5.622
1/1/2023 3:00:00 AM,12/31/2022 10:00:00 PM,RFC,-1.474
1/1/2023 2:00:00 AM,12/31/2022 9:00:00 PM,MIDATL,-1.146
1/1/2023 2:00:00 AM,12/31/2022 9:00:00 PM,OTHER,-0.037
1/1/2023 2:00:00 AM,12/31/2022 9:00:00 PM,SOUTH,-4.076
1/1/2023 2:00:00 AM,12/31/2022 9:00:00 PM,WEST,-0.331
1/1/2023 2:00:00 AM,12/31/2022 9:00:00 PM,RTO,-5.553
1/1/2023 2:00:00 AM,12/31/2022 9:00:00 PM,RFC,-1.477
1/1/2023 1:00:00 AM,12/31/2022 8:00:00 PM,MIDATL,-1.138
1/1/2023 1:00:00 AM,12/31/2022 8:00:00 PM,OTHER,-0.037
1/1/2023 1:00:00 AM,12/31/2022 8:00:00 PM,SOUTH,-5.258
1/1/2023 1:00:00 AM,12/31/2022 8:00:00 PM,WEST,-0.324
1/1/2023 1:00:00 AM,12/31/2022 8:00:00 PM,RTO,-6.720
1/1/2023 1:00:00 AM,12/31/2022 8:00:00 PM,RFC,-1.462
1/1/2023 12:00:00 AM,12/31/2022 7:00:00 PM,MIDATL,-1.108
1/1/2023 12:00:00 AM,12/31/2022 7:00:00 PM,OTHER,-0.036
1/1/2023 12:00:00 AM,12/31/2022 7:00:00 PM,SOUTH,-4.189
1/1/2023 12:00:00 AM,12/31/2022 7:00:00 PM,WEST,-1.325
1/1/2023 12:00:00 AM,12/31/2022 7:00:00 PM,RTO,-6.622
1/1/2023 12:00:00 AM,12/31/2022 7:00:00 PM,RFC,-2.433
12/31/2022 11:00:00 PM,12/31/2022 6:00:00 PM,MIDATL,-1.122
12/31/2022 11:00:00 PM,12/31/2022 6:00:00 PM,OTHER,-0.036
12/31/2022 11:00:00 PM,12/31/2022 6:00:00 PM,SOUTH,-4.086
12/31/2022 11:00:00 PM,12/31/2022 6:00:00 PM,WEST,-0.309
12/31/2022 11:00:00 PM,12/31/2022 6:00:00 PM,RTO,-5.517
12/31/2022 11:00:00 PM,12/31/2022 6:00:00 PM,RFC,-1.431
12/31/2022 10:00:00 PM,12/31/2022 5:00:00 PM,MIDATL,-1.188
12/31/2022 10:00:00 PM,12/31/2022 5:00:00 PM,OTHER,0.026
12/31/2022 10:00:00 PM,12/31/2022 5:00:00 PM,SOUTH,-1.546
12/31/2022 10:00:00 PM,12/31/2022 5:00:00 PM,WEST,0.247
12/31/2022 10:00:00 PM,12/31/2022 5:00:00 PM,RTO,-2.487
12/31/2022 10:00:00 PM,12/31/2022 5:00:00 PM,RFC,-0.941
12/31/2022 9:00:00 PM,12/31/2022 4:00:00 PM,MIDATL,-0.339
12/31/2022 9:00:00 PM,12/31/2022 4:00:00 PM,OTHER,9.274
12/31/2022 9:00:00 PM,12/31/2022 4:00:00 PM,SOUTH,49.210
12/31/2022 9:00:00 PM,12/31/2022 4:00:00 PM,WEST,46.214
12/31/2022 9:00:00 PM,12/31/2022 4:00:00 PM,RTO,95.085
12/31/2022 9:00:00 PM,12/31/2022 4:00:00 PM,RFC,45.875
12/31/2022 8:00:00 PM,12/31/2022 3:00:00 PM,MIDATL,14.466
12/31/2022 8:00:00 PM,12/31/2022 3:00:00 PM,OTHER,23.776
12/31/2022 8:00:00 PM,12/31/2022 3:00:00 PM,SOUTH,150.596
12/31/2022 8:00:00 PM,12/31/2022 3:00:00 PM,WEST,56.929
12/31/2022 8:00:00 PM,12/31/2022 3:00:00 PM,RTO,221.991
12/31/2022 8:00:00 PM,12/31/2022 3:00:00 PM,RFC,71.395
12/31/2022 7:00:00 PM,12/31/2022 2:00:00 PM,MIDATL,35.953
12/31/2022 7:00:00 PM,12/31/2022 2:00:00 PM,OTHER,29.962
12/31/2022 7:00:00 PM,12/31/2022 2:00:00 PM,SOUTH,218.988
12/31/2022 7:00:00 PM,12/31/2022 2:00:00 PM,WEST,43.913
12/31/2022 7:00:00 PM,12/31/2022 2:00:00 PM,RTO,298.854
12/31/2022 7:00:00 PM,12/31/2022 2:00:00 PM,RFC,79.866
12/31/2022 6:00:00 PM,12/31/2022 1:00:00 PM,MIDATL,54.792
12/31/2022 6:00:00 PM,12/31/2022 1:00:00 PM,OTHER,23.778
12/31/2022 6:00:00 PM,12/31/2022 1:00:00 PM,SOUTH,341.997
12/31/2022 6:00:00 PM,12/31/2022 1:00:00 PM,WEST,61.870
12/31/2022 6:00:00 PM,12/31/2022 1:00:00 PM,RTO,458.659
12/31/2022 6:00:00 PM,12/31/2022 1:00:00 PM,RFC,116.662
12/31/2022 5:00:00 PM,12/31/2022 12:00:00 PM,MIDATL,65.259
12/31/2022 5:00:00 PM,12/31/2022 12:00:00 PM,OTHER,34.943
12/31/2022 5:00:00 PM,12/31/2022 12:00:00 PM,SOUTH,428.729
12/31/2022 5:00:00 PM,12/31/2022 12:00:00 PM,WEST,78.198
12/31/2022 5:00:00 PM,12/31/2022 12:00:00 PM,RTO,572.186
12/31/2022 5:00:00 PM,12/31/2022 12:00:00 PM,RFC,143.457
12/31/2022 4:00:00 PM,12/31/2022 11:00:00 AM,MIDATL,72.808
12/31/2022 4:00:00 PM,12/31/2022 11:00:00 AM,OTHER,13.235
12/31/2022 4:00:00 PM,12/31/2022 11:00:00 AM,SOUTH,493.570
12/31/2022 4:00:00 PM,12/31/2022 11:00:00 AM,WEST,79.080
12/31/2022 4:00:00 PM,12/31/2022 11:00:00 AM,RTO,645.458
12/31/2022 4:00:00 PM,12/31/2022 11:00:00 AM,RFC,151.888
12/31/2022 3:00:00 PM,12/31/2022 10:00:00 AM,MIDATL,65.613
12/31/2022 3:00:00 PM,12/31/2022 10:00:00 AM,OTHER,10.445
12/31/2022 3:00:00 PM,12/31/2022 10:00:00 AM,SOUTH,480.618
12/31/2022 3:00:00 PM,12/31/2022 10:00:00 AM,WEST,65.426
12/31/2022 3:00:00 PM,12/31/2022 10:00:00 AM,RTO,611.657
12/31/2022 3:00:00 PM,12/31/2022 10:00:00 AM,RFC,131.039
12/31/2022 2:00:00 PM,12/31/2022 9:00:00 AM,MIDATL,40.390
12/31/2022 2:00:00 PM,12/31/2022 9:00:00 AM,OTHER,1.104
12/31/2022 2:00:00 PM,12/31/2022 9:00:00 AM,SOUTH,319.997
12/31/2022 2:00:00 PM,12/31/2022 9:00:00 AM,WEST,33.254
12/31/2022 2:00:00 PM,12/31/2022 9:00:00 AM,RTO,393.641
12/31/2022 2:00:00 PM,12/31/2022 9:00:00 AM,RFC,73.644
12/31/2022 1:00:00 PM,12/31/2022 8:00:00 AM,MIDATL,17.310
12/31/2022 1:00:00 PM,12/31/2022 8:00:00 AM,OTHER,0.300
12/31/2022 1:00:00 PM,12/31/2022 8:00:00 AM,SOUTH,154.580
12/31/2022 1:00:00 PM,12/31/2022 8:00:00 AM,WEST,7.370
12/31/2022 1:00:00 PM,12/31/2022 8:00:00 AM,RTO,179.260
12/31/2022 1:00:00 PM,12/31/2022 8:00:00 AM,RFC,24.680
12/31/2022 12:00:00 PM,12/31/2022 7:00:00 AM,MIDATL,1.328
12/31/2022 12:00:00 PM,12/31/2022 7:00:00 AM,OTHER,-0.009
12/31/2022 12:00:00 PM,12/31/2022 7:00:00 AM,SOUTH,8.351
12/31/2022 12:00:00 PM,12/31/2022 7:00:00 AM,WEST,-1.210
12/31/2022 12:00:00 PM,12/31/2022 7:00:00 AM,RTO,8.469
12/31/2022 12:00:00 PM,12/31/2022 7:00:00 AM,RFC,0.118
12/31/2022 11:00:00 AM,12/31/2022 6:00:00 AM,MIDATL,-1.152
12/31/2022 11:00:00 AM,12/31/2022 6:00:00 AM,OTHER,-0.037
12/31/2022 11:00:00 AM,12/31/2022 6:00:00 AM,SOUTH,-4.336
