datetime_beginning_utc,datetime_beginning_ept,area,wind_generation_mw
1/2/2023 4:00:00 AM,1/1/2023 11:00:00 PM,RTO,1426.339
1/2/2023 3:00:00 AM,1/1/2023 10:00:00 PM,RTO,1615.853
1/2/2023 2:00:00 AM,1/1/2023 9:00:00 PM,RTO,1562.591
1/2/2023 1:00:00 AM,1/1/2023 8:00:00 PM,RTO,1393.393
1/2/2023 12:00:00 AM,1/1/2023 7:00:00 PM,RTO,1400.471
1/1/2023 11:00:00 PM,1/1/2023 6:00:00 PM,RTO,1324.457
1/1/2023 10:00:00 PM,1/1/2023 5:00:00 PM,RTO,1106.978
1/1/2023 9:00:00 PM,1/1/2023 4:00:00 PM,RTO,1017.930
1/1/2023 8:00:00 PM,1/1/2023 3:00:00 PM,RTO,1149.783
1/1/2023 7:00:00 PM,1/1/2023 2:00:00 PM,RTO,1276.595
1/1/2023 6:00:00 PM,1/1/2023 1:00:00 PM,RTO,1366.648
1/1/2023 5:00:00 PM,1/1/2023 12:00:00 PM,RTO,1370.936
1/1/2023 4:00:00 PM,1/1/2023 11:00:00 AM,RTO,1540.548
1/1/2023 3:00:00 PM,1/1/2023 10:00:00 AM,RTO,1880.037
1/1/2023 2:00:00 PM,1/1/2023 9:00:00 AM,RTO,2365.100
1/1/2023 1:00:00 PM,1/1/2023 8:00:00 AM,RTO,2929.649
1/1/2023 12:00:00 PM,1/1/2023 7:00:00 AM,RTO,3699.525
1/1/2023 11:00:00 AM,1/1/2023 6:00:00 AM,RTO,4412.105
1/1/2023 10:00:00 AM,1/1/2023 5:00:00 AM,RTO,4703.201
1/1/2023 9:00:00 AM,1/1/2023 4:00:00 AM,RTO,4776.355
1/1/2023 8:00:00 AM,1/1/2023 3:00:00 AM,RTO,5294.705
1/1/2023 7:00:00 AM,1/1/2023 2:00:00 AM,RTO,5901.861
1/1/2023 6:00:00 AM,1/1/2023 1:00:00 AM,RTO,6556.513
1/1/2023 5:00:00 AM,1/1/2023 12:00:00 AM,RTO,6117.732
1/1/2023 4:00:00 AM,12/31/2022 11:00:00 PM,RTO,5819.355
1/1/2023 3:00:00 AM,12/31/2022 10:00:00 PM,RTO,5434.552
1/1/2023 2:00:00 AM,12/31/2022 9:00:00 PM,RTO,5274.168
1/1/2023 1:00:00 AM,12/31/2022 8:00:00 PM,RTO,5179.187
1/1/2023 12:00:00 AM,12/31/2022 7:00:00 PM,RTO,4093.830
12/31/2022 11:00:00 PM,12/31/2022 6:00:00 PM,RTO,2575.539
12/31/2022 10:00:00 PM,12/31/2022 5:00:00 PM,RTO,1692.303
12/31/2022 9:00:00 PM,12/31/2022 4:00:00 PM,RTO,1190.868
12/31/2022 8:00:00 PM,12/31/2022 3:00:00 PM,RTO,846.938
12/31/2022 7:00:00 PM,12/31/2022 2:00:00 PM,RTO,828.822
12/31/2022 6:00:00 PM,12/31/2022 1:00:00 PM,RTO,803.200
12/31/2022 5:00:00 PM,12/31/2022 12:00:00 PM,RTO,791.013
12/31/2022 4:00:00 PM,12/31/2022 11:00:00 AM,RTO,752.527
12/31/2022 3:00:00 PM,12/31/2022 10:00:00 AM,RTO,620.024
12/31/2022 2:00:00 PM,12/31/2022 9:00:00 AM,RTO,698.872
12/31/2022 1:00:00 PM,12/31/2022 8:00:00 AM,RTO,891.352
12/31/2022 12:00:00 PM,12/31/2022 7:00:00 AM,RTO,1188.911
12/31/2022 11:00:00 AM,12/31/2022 6:00:00 AM,RTO,1337.097
12/31/2022 10:00:00 AM,12/31/2022 5:00:00 AM,RTO,1638.204
12/31/2022 9:00:00 AM,12/31/2022 4:00:00 AM,RTO,1709.625
12/31/2022 8:00:00 AM,12/31/2022 3:00:00 AM,RTO,1726.918
12/31/2022 7:00:00 AM,12/31/2022 2:00:00 AM,RTO,1727.593
12/31/2022 6:00:00 AM,12/31/2022 1:00:00 AM,RTO,1896.711
12/31/2022 5:00:00 AM,12/31/2022 12:00:00 AM,RTO,1690.502
12/31/2022 4:00:00 AM,12/30/2022 11:00:00 PM,RTO,1573.653
12/31/2022 3:00:00 AM,12/30/2022 10:00:00 PM,RTO,1547.014
12/31/2022 2:00:00 AM,12/30/2022 9:00:00 PM,RTO,1572.105
12/31/2022 1:00:00 AM,12/30/2022 8:00:00 PM,RTO,1430.212
12/31/2022 12:00:00 AM,12/30/2022 7:00:00 PM,RTO,1322.023
12/30/2022 11:00:00 PM,12/30/2022 6:00:00 PM,RTO,1333.620
12/30/2022 10:00:00 PM,12/30/2022 5:00:00 PM,RTO,1378.114
12/30/2022 9:00:00 PM,12/30/2022 4:00:00 PM,RTO,1393.552
12/30/2022 8:00:00 PM,12/30/2022 3:00:00 PM,RTO,1545.927
12/30/2022 7:00:00 PM,12/30/2022 2:00:00 PM,RTO,1836.300
12/30/2022 6:00:00 PM,12/30/2022 1:00:00 PM,RTO,2258.873
12/30/2022 5:00:00 PM,12/30/2022 12:00:00 PM,RTO,2608.318
12/30/2022 4:00:00 PM,12/30/2022 11:00:00 AM,RTO,2918.153
12/30/2022 3:00:00 PM,12/30/2022 10:00:00 AM,RTO,3357.899
12/30/2022 2:00:00 PM,12/30/2022 9:00:00 AM,RTO,3719.056
12/30/2022 1:00:00 PM,12/30/2022 8:00:00 AM,RTO,3861.656
12/30/2022 12:00:00 PM,12/30/2022 7:00:00 AM,RTO,4470.901
12/30/2022 11:00:00 AM,12/30/2022 6:00:00 AM,RTO,5106.679
12/30/2022 10:00:00 AM,12/30/2022 5:00:00 AM,RTO,5572.969
12/30/2022 9:00:00 AM,12/30/2022 4:00:00 AM,RTO,6392.727
12/30/2022 8:00:00 AM,12/30/2022 3:00:00 AM,RTO,7156.303
12/30/2022 7:00:00 AM,12/30/2022 2:00:00 AM,RTO,7731.644
12/30/2022 6:00:00 AM,12/30/2022 1:00:00 AM,RTO,8153.324
12/30/2022 5:00:00 AM,12/30/2022 12:00:00 AM,RTO,8395.417
12/30/2022 4:00:00 AM,12/29/2022 11:00:00 PM,RTO,8338.208
12/30/2022 3:00:00 AM,12/29/2022 10:00:00 PM,RTO,8254.485
12/30/2022 2:00:00 AM,12/29/2022 9:00:00 PM,RTO,8200.964
12/30/2022 1:00:00 AM,12/29/2022 8:00:00 PM,RTO,8186.301
12/30/2022 12:00:00 AM,12/29/2022 7:00:00 PM,RTO,8145.636
12/29/2022 11:00:00 PM,12/29/2022 6:00:00 PM,RTO,7943.218
12/29/2022 10:00:00 PM,12/29/2022 5:00:00 PM,RTO,7746.379
12/29/2022 9:00:00 PM,12/29/2022 4:00:00 PM,RTO,7481.428
12/29/2022 8:00:00 PM,12/29/2022 3:00:00 PM,RTO,7490.995
12/29/2022 7:00:00 PM,12/29/2022 2:00:00 PM,RTO,7570.240
12/29/2022 6:00:00 PM,12/29/2022 1:00:00 PM,RTO,7714.935
